noun_id,class_key,relevant
0,aeropress,True
1,air,False
2,alarm,False
3,alcohol,True
4,almond,True
5,almond:canned,True
6,aluminium,False
7,angle:blade,True
8,app,False
9,apple,True
10,apron,False
11,arm,False
12,artichoke,True
13,asparagus,True
14,aubergine,True
15,avocado,True
16,back:teaspoon,True
17,backpack,False
18,bacon,True
19,bag,False
20,bag:apple,True
21,bag:bin,False
22,bag:bread,True
23,bag:bread:plastic,True
24,bag:bread:wrap,True
25,bag:breadcrumb,True
26,bag:breadstick,True
27,bag:capsule,False
28,bag:carrier,False
29,bag:carrot,True
30,bag:carrot:packing,True
31,bag:cereal,True
32,bag:cheese,True
33,bag:coconut,True
34,bag:coffee,True
35,bag:coffee:bean,True
36,bag:compost,False
37,bag:coriander,True
38,bag:crisp,True
39,bag:empty,False
40,bag:fish,True
41,bag:flour,True
42,bag:flower,False
43,bag:folded,False
44,bag:food,True
45,bag:food:bin,False
46,bag:garbage,False
47,bag:garlic,True
48,bag:ginger,True
49,bag:glove,True
50,bag:grape,True
51,bag:grocery,False
52,bag:herb,True
53,bag:kitchen,True
54,bag:mesh,True
55,bag:mozzarella,True
56,bag:new,False
57,bag:noodle,True
58,bag:nut,True
59,bag:oatmeal,True
60,bag:onion,True
61,bag:open:pine:nut,True
62,bag:oregano,True
63,bag:packing,False
64,bag:paddleboard,False
65,bag:pasta,True
66,bag:pine:nut,True
67,bag:pistachio,True
68,bag:plastic,False
69,bag:plastic:trash,False
70,bag:potato,True
71,bag:rice,True
72,bag:rubbish,False
73,bag:salad,True
74,bag:salt,True
75,bag:sandwich,True
76,bag:shopping,False
77,bag:spaghetti,True
78,bag:spice:plastic,True
79,bag:spring:onion,True
80,bag:sugar,True
81,bag:sweetcorn,True
82,bag:tea,True
83,bag:toast:bread,True
84,bag:tomato,True
85,bag:tortilla,True
86,bag:tortilla:plastic,True
87,bag:trash,False
88,bagel,True
89,bagel:release,True
90,balance,False
91,ball,False
92,ball:dough,True
93,ball:flour,True
94,ball:mozzarella,True
95,banana,True
96,band:rubber,False
97,bao,True
98,bar:breakfast,True
99,bar:cereal,True
100,bar:chocolate,True
101,base,False
102,base:baking:tin,True
103,base:cake:container,True
104,base:coffee:machine,True
105,base:pie:dish,True
106,base:pizza,True
107,base:power,False
108,basil,True
109,basin,False
110,basket,False
111,basket:cutlery,True
112,basket:laundry,False
113,basket:washing,False
114,basket:waste,True
115,battery,False
116,beaker,False
117,bean,True
118,bean:baked,True
119,bean:coffee,True
120,bean:green,True
121,bean:kidney,True
122,beef,True
123,beer,True
124,beer:more,True
125,belly:pork,True
126,bench,False
127,berry,True
128,bin,False
129,bin:bread,False
130,bin:compost,False
131,bin:dust,False
132,bin:food,False
133,bin:food:recycling,False
134,bin:garbage,False
135,bin:leftover:food,False
136,bin:new,False
137,bin:other,False
138,bin:recycling,False
139,bin:rolling,False
140,bin:rubbish,False
141,bin:trash,False
142,biscuit,True
143,bit:bell:pepper,True
144,bit:bread,True
145,bit:butter,True
146,bit:carrot,True
147,bit:cheese,True
148,bit:cheese:packet,True
149,bit:chilli,True
