video_id,start_frame,stop_frame,verb,verb_class,noun,all_nouns,all_noun_classes,relevant
P01_01,8,202,open,3,door,['door'],[3],False
P01_01,262,370,turn-on,6,light,['light'],[114],True
P01_01,1498,1572,open,3,drawer,['drawer'],[8],False
P01_01,28785,28852,take,0,cup,['cup'],[13],True
P01_01,28888,28932,open,3,cupboard,['cupboard'],[3],False
P01_01,28927,28980,put-into,5,cup,"['cup', 'cupboard']","[13, 3]",True
P01_01,29113,29232,take,0,container,"['container', 'lid']","[21, 6]",True
P01_01,29302,29347,put-on,1,container,"['container', 'top:counter']","[21, 42]",True
P01_01,29520,29564,open,3,container,['container'],[21],False
P01_01,29593,29662,put-inside,5,container,"['container', 'container']","[21, 21]",False
P01_01,29748,29819,close,4,lid,['lid'],[6],True
P01_01,29978,30036,put-in,5,container,"['container', 'cupboard']","[21, 3]",True
P01_01,30141,30198,take,0,plate,['plate'],[2],False
P01_01,1753,1879,close,4,fridge,['fridge'],[12],False
P01_01,30279,30475,put-down,1,plate,['plate'],[2],False
P01_01,30489,30596,open,3,drawer,['drawer'],[8],False
P01_01,30557,30692,take,0,drawer,['drawer'],[8],False
P01_01,30759,30865,put-down,1,drawer,['drawer'],[8],False
P01_01,31008,31082,open,3,drawer,['drawer'],[8],False
P01_01,31072,31147,take,0,fork,['fork'],[14],True
P01_01,31160,31215,put-down,1,fork,['fork'],[14],True
P01_01,31271,31324,take,0,spatula,['spatula'],[20],True
P01_01,31315,31713,stir,10,vegetable,['vegetable'],[94],True
P01_01,2200,2266,put-down,1,vegetable,['vegetable'],[94],True
P01_01,32522,32578,take,0,container,['container'],[21],False
P01_01,32783,32845,open,3,fridge,['fridge'],[12],False
P01_01,32844,32940,put-into,5,container,"['container', 'fridge']","[21, 12]",False
P01_01,32956,33001,close,4,fridge,['fridge'],[12],False
P01_01,33204,33269,take,0,spatula,['spatula'],[20],True
P01_01,33279,33510,stir,10,vegetable,['vegetable'],[94],True
P01_01,33667,33739,take,0,grater,['grater'],[96],True
P01_01,33667,33751,take,0,grater,['grater'],[96],True
P01_01,33724,33768,take,0,carrot,['carrot'],[41],True
P01_01,33855,34130,cut,7,carrot,['carrot'],[41],True
P01_01,2507,2553,open,3,cupboard,['cupboard'],[3],False
P01_01,34150,34261,drop,59,grater,['grater'],[96],False
P01_01,34465,35215,grate,77,carrot,['carrot'],[41],True
P01_01,35221,35734,grate,77,carrot,['carrot'],[41],True
P01_01,35417,36043,grate,77,carrot,['carrot'],[41],True
P01_01,36131,38339,grate,77,carrot,['carrot'],[41],True
