verb_id,class_key,verbs,relevant
0,take,"['take', 'grab', 'pick', 'draw', 'get', 'grab-up', 'collect-from', 'take-up', 'grab-down', 'pull-down', 'fetch', 'pick-up']",True
1,put,"['put', 'pose', 'put-away', 'place-that', 'place-down', 'put', 'set-down', 'put-over', 'place-on', 'reture', 'put-on', 'place-away', 'swap', 'layer', 'position', 'put-down', 'put-back', 'place-back', 'return', 'pace', 'dose', 'put-up', 'leave', 'place', 'put-aside', 'lay', 'reposition', 'replace', 'put-onto']",True
2,open,"['open', 'unzip', 'open-up']",True
3,close,"['close', 'close-off', 'shut']",False
4,wash,"['wash', 'sponge', 'lather', 'wash-with', 'rinse', 'rinse-off', 'soap-up', 'wash-off', 'soap', 'rise', 'wash-up', 'clean-around', 'clean-off', 'clean-with', 'clean', 'clean-up', 'wipe-down', 'wipe-of', 'wipe', 'wipe-off']",True
5,cut,"['cut', 'chop', 'chop-off', 'cut-off', 'slice-into', 'slice-along', 'slice-off', 'stem', 'slice-up', 'cut-into', 'dice', 'half', 'halve', 'chop-up', 'snip', 'trim', 'slice']",True
6,mix,"['mix', 'beat', 'mix-around', 'stir-with', 'whisk', 'stir', 'blend', 'mix-in', 'stir-in']",True
7,pour,"['pour', 'pour-in', 'tip-in', 'pour-out', 'pour-on', 'pour-into', 'sieve']",True
8,throw,"['throw', 'throw-out', 'recycle', 'dispose-of', 'throw-over', 'throw-away', 'throw-in', 'bin', 'trow', 'toss']",False
9,move,"['move', 'transfer', 'move-around']",False
10,remove,"['remove', 'extract', 'take-off', 'remove-out', 'take-out', 'get-out', 'remove-inside', 'remove-from', 'pick-out']",True
11,dry,"['dry', 'dry-off', 'towel']",True
12,turn-on,"['turn-on', 'start', 'begin', 'ignite', 'switch-on', 'activate', 'water-on', 'play', 'start-to', 'restart', 'light']",True
13,turn,"['turn', 'rotate']",True
14,shake,"['shake', 'shake-off', 'shake-out']",True
15,turn-off,"['turn-off', 'switch-of', 'water-off', 'switch-off', 'switch-out', 'shut-off', 'turn-of']",True
16,peel,"['peel', 'skin-from', 'skin', 'peel-off', 'peel-back']",True
17,adjust,"['adjust', 'change', 'regulate']",False
18,empty,['empty'],True
19,scoop,"['scoop', 'spoon-in', 'spoon', 'scoop-out', 'scoop-up']",True
20,check,"['check', 'ensure', 'test', 'look-in', 'watch', 'inspect', 'check-on']",True
21,squeeze,"['squeeze', 'squidge', 'squidge-into', 'squash', 'squish-into', 'wring-out', 'wring', 'squish', 'squeeze-into']",True
22,insert,"['insert', 'put-in', 'put-into', 'fit', 'place-in', 'put-inside']",True
23,press,"['press', 'push-down', 'collapse', 'compress', 'push', 'press-on']",True
24,fill,"['fill', 'fill-with', 'fill-up', 'stuff']",True
25,add,"['add', 'combine', 'add-to']",True
26,scrape,"['scrape', 'scrape-out', 'loose', 'scour', 'scrap', 'scrape-off']",True
27,sharpen,"['sharpen', 'thin']",False
28,wrap,"['wrap', 'top', 'lid', 'cover', 'seal', 'clamp', 'fasten', 'reseal', 'clip', 'wrap-up', 'tie']",True
29,roll,"['roll', 'roll-up']",True
30,sprinkle,"['sprinkle', 'sprinkle-on', 'drizzle', 'scatter', 'sprincle', 'crumble']",True
31,break,"['break', 'snap', 'crack', 'break-up']",True
32,flip,"['flip', 'overturn', 'turn-over']",True
33,hang,"['hang', 'drape', 'hang-up']",False
34,hold,['hold'],False
