video_id,start_frame,stop_frame,verb,verb_class,noun,all_nouns,all_noun_classes
P01_01,8,202,open,3,door,['door'],[3]
P01_01,262,370,turn-on,6,light,['light'],[114]
P01_01,1498,1572,open,3,drawer,['drawer'],[8]
P01_01,28785,28852,take,0,cup,['cup'],[13]
P01_01,28888,28932,open,3,cupboard,['cupboard'],[3]
P01_01,28927,28980,put-into,5,cup,"['cup', 'cupboard']","[13, 3]"
P01_01,29113,29232,take,0,container,"['container', 'lid']","[21, 6]"
P01_01,29302,29347,put-on,1,container,"['container', 'top:counter']","[21, 42]"
P01_01,29520,29564,open,3,container,['container'],[21]
P01_01,29593,29662,put-inside,5,container,"['container', 'container']","[21, 21]"
P01_01,29748,29819,close,4,lid,['lid'],[6]
P01_01,29978,30036,put-in,5,container,"['container', 'cupboard']","[21, 3]"
P01_01,30141,30198,take,0,plate,['plate'],[2]
P01_01,1753,1879,close,4,fridge,['fridge'],[12]
P01_01,30279,30475,put-down,1,plate,['plate'],[2]
P01_01,30489,30596,open,3,drawer,['drawer'],[8]
P01_01,30557,30692,take,0,drawer,['drawer'],[8]
P01_01,30759,30865,put-down,1,drawer,['drawer'],[8]
P01_01,31008,31082,open,3,drawer,['drawer'],[8]
P01_01,31072,31147,take,0,fork,['fork'],[14]
P01_01,31160,31215,put-down,1,fork,['fork'],[14]
P01_01,31271,31324,take,0,spatula,['spatula'],[20]
P01_01,31315,31713,stir,10,vegetable,['vegetable'],[94]
P01_01,2200,2266,put-down,1,vegetable,['vegetable'],[94]
P01_01,32522,32578,take,0,container,['container'],[21]
P01_01,32783,32845,open,3,fridge,['fridge'],[12]
P01_01,32844,32940,put-into,5,container,"['container', 'fridge']","[21, 12]"
P01_01,32956,33001,close,4,fridge,['fridge'],[12]
P01_01,33204,33269,take,0,spatula,['spatula'],[20]
P01_01,33279,33510,stir,10,vegetable,['vegetable'],[94]
P01_01,33667,33739,take,0,grater,['grater'],[96]
P01_01,33667,33751,take,0,grater,['grater'],[96]
P01_01,33724,33768,take,0,carrot,['carrot'],[41]
P01_01,33855,34130,cut,7,carrot,['carrot'],[41]
P01_01,2507,2553,open,3,cupboard,['cupboard'],[3]
P01_01,34150,34261,drop,59,grater,['grater'],[96]
P01_01,34465,35215,grate,77,carrot,['carrot'],[41]
P01_01,35221,35734,grate,77,carrot,['carrot'],[41]
P01_01,35417,36043,grate,77,carrot,['carrot'],[41]
P01_01,36131,38339,grate,77,carrot,['carrot'],[41]
P01_01,38370,38416,put-down,1,grater,['grater'],[96]
P01_01,38508,38569,throw-into,13,carrot,"['carrot', 'bin']","[41, 36]"
P01_01,38669,38719,take,0,grater,['grater'],[96]
P01_01,38980,39046,put-down,1,grater,['grater'],[96]
P01_01,39166,39229,throw-into,13,carrot,"['carrot', 'bin']","[41, 36]"
P01_01,2592,2798,take,0,board:cutting,['board:cutting'],[18]
P01_01,39285,39345,take,0,spatula,['spatula'],[20]
P01_01,39343,39657,stir,10,vegetable,['vegetable'],[94]
P01_01,39753,39813,open,3,cupboard,['cupboard'],[3]
P01_01,39813,39918,take,0,saucepan,['saucepan'],[5]
P01_01,40038,40449,put-down,1,saucepan,['saucepan'],[5]
P01_01,40500,40619,turn,23,hob,['hob'],[24]
P01_01,40770,40937,take,0,kettle,['kettle'],[44]
P01_01,41004,41841,pour-into,9,water,"['water', 'saucepan']","[27, 5]"
P01_01,41193,41493,see,38,water:boiling,['water:boiling'],[27]
P01_01,41944,42114,put-down,1,kettle,['kettle'],[44]
P01_01,2787,2868,put-down,1,board:cutting,['board:cutting'],[18]
P01_01,42231,42324,take,0,oil:olive,['oil:olive'],[31]
P01_01,42472,42784,pour,9,oil,['oil'],[31]
P01_01,42788,42983,close,4,oil,['oil'],[31]
P01_01,42989,43069,put-down,1,oil,['oil'],[31]
P01_01,43075,43128,take,0,spatula,['spatula'],[20]
P01_01,43141,43202,take,0,board:cutting,"['board:cutting', 'onion']","[18, 16]"
P01_01,43227,43342,pour,9,onion,['onion'],[16]
P01_01,43347,43413,put-down,1,board:cutting,['board:cutting'],[18]
P01_01,43422,43888,stir,10,vegetable,['vegetable'],[94]
P01_01,43822,45004,stir,10,vegetable,['vegetable'],[94]
P01_01,2865,2925,close,4,cupboard,['cupboard'],[3]
P01_01,45023,45091,take,0,salt,['salt'],[38]
P01_01,45097,45189,open,3,salt,['salt'],[38]
P01_01,45165,45240,put-down,1,salt,['salt'],[38]
P01_01,45185,45269,open,3,drawer,['drawer'],[8]
P01_01,45297,45402,take,0,spoon,['spoon'],[1]
P01_01,45468,45695,pour-onto,9,salt,"['salt', 'spoon']","[38, 1]"
P01_01,45729,45819,pour-into,9,salt,"['salt', 'water']","[38, 27]"
P01_01,45763,45862,stir,10,water,['water'],[27]
P01_01,45894,45945,close,4,salt,['salt'],[38]
P01_01,45966,46006,put-down,1,spoon,['spoon'],[1]
P01_01,3099,3180,open,3,drawer,['drawer'],[8]
P01_01,46050,46164,put-down,1,salt,['salt'],[38]
P01_01,46172,46216,take,0,spatula,['spatula'],[20]
P01_01,46215,46279,stir,10,vegetable,['vegetable'],[94]
P01_01,46284,46359,adjust,17,hob,['hob'],[24]
P01_01,46483,48495,stir,10,vegetable,['vegetable'],[94]
P01_01,46540,46897,stir,10,vegetable,['vegetable'],[94]
P01_01,47359,49179,stir,10,vegetable,['vegetable'],[94]
P01_01,49172,49252,put-down,1,spatula,['spatula'],[20]
P01_01,49273,49344,open,3,cupboard,['cupboard'],[3]
P01_01,49344,49510,take,0,cupboard,['cupboard'],[3]
P01_01,3210,3360,take,0,knife,['knife'],[4]
P01_01,49456,49546,put-down,1,knife,['knife'],[4]
P01_01,49614,49716,take,0,rice,['rice'],[55]
P01_01,49753,50118,open,3,rice,['rice'],[55]
P01_01,50348,50426,put-down,1,rice,['rice'],[55]
P01_01,50442,50498,take,0,spatula,['spatula'],[20]
P01_01,50504,50836,stir,10,vegetable,['vegetable'],[94]
P01_01,50842,51846,stir,10,vegetable,['vegetable'],[94]
P01_01,51855,51918,put-down,1,spatula,['spatula'],[20]
P01_01,51960,52036,take,0,tofu,['tofu'],[81]
P01_01,52175,52261,take,0,knife,['knife'],[4]
P01_01,3213,3261,take,0,knife,['knife'],[4]
P01_01,52252,52506,cut,7,tofu,['tofu'],[81]
P01_01,52528,53104,open,3,container:tofu,['container:tofu'],[21]
